ticker,event_ticker,title,status,result,strike,volume,close_time,expiration_time
KXBTC15M-25DEC161630-30,KXBTC15M-25DEC161630,"BTC price up in next 15 mins?",finalized,yes,87632,1882,2025-12-16T21:30:00Z,2025-12-23T21:30:00Z
KXBTC15M-25DEC161615-15,KXBTC15M-25DEC161615,"BTC price up in next 15 mins?",finalized,yes,87617,3480,2025-12-16T21:15:00Z,2025-12-23T21:15:00Z
KXBTC15M-25DEC161600-00,KXBTC15M-25DEC161600,"BTC price up in next 15 mins?",finalized,no,87763,661,2025-12-16T21:00:00Z,2025-12-23T21:00:00Z
KXBTC15M-25DEC161545-45,KXBTC15M-25DEC161545,"BTC price up in next 15 mins?",finalized,yes,87513,490,2025-12-16T20:45:00Z,2025-12-23T20:45:00Z
KXBTC15M-25DEC161530-30,KXBTC15M-25DEC161530,"BTC price up in next 15 mins?",finalized,yes,87476,751,2025-12-16T20:30:00Z,2025-12-23T20:30:00Z
KXBTC15M-25DEC161515-15,KXBTC15M-25DEC161515,"BTC price up in next 15 mins?",finalized,no,87582,668,2025-12-16T20:15:00Z,2025-12-23T20:15:00Z
KXBTC15M-25DEC161500-00,KXBTC15M-25DEC161500,"BTC price up in next 15 mins?",finalized,yes,87539,598,2025-12-16T20:00:00Z,2025-12-23T20:00:00Z
KXBTC15M-25DEC161445-45,KXBTC15M-25DEC161445,"BTC price up in next 15 mins?",finalized,yes,87353,597,2025-12-16T19:45:00Z,2025-12-23T19:45:00Z
KXBTC15M-25DEC161430-30,KXBTC15M-25DEC161430,"BTC price up in next 15 mins?",finalized,yes,87336,852,2025-12-16T19:30:00Z,2025-12-23T19:30:00Z
KXBTC15M-25DEC161415-15,KXBTC15M-25DEC161415,"BTC price up in next 15 mins?",finalized,no,87740,895,2025-12-16T19:15:00Z,2025-12-23T19:15:00Z
KXBTC15M-25DEC161400-00,KXBTC15M-25DEC161400,"BTC price up in next 15 mins?",finalized,no,87875,1863,2025-12-16T19:00:00Z,2025-12-23T19:00:00Z
KXBTC15M-25DEC161345-45,KXBTC15M-25DEC161345,"BTC price up in next 15 mins?",finalized,yes,87382,271,2025-12-16T18:45:00Z,2025-12-23T18:45:00Z
KXBTC15M-25DEC161330-30,KXBTC15M-25DEC161330,"BTC price up in next 15 mins?",finalized,no,87506,3965,2025-12-16T18:30:00Z,2025-12-23T18:30:00Z
KXBTC15M-25DEC161315-15,KXBTC15M-25DEC161315,"BTC price up in next 15 mins?",finalized,yes,87109,2185,2025-12-16T18:15:00Z,2025-12-23T18:15:00Z
KXBTC15M-25DEC161300-00,KXBTC15M-25DEC161300,"BTC price up in next 15 mins?",finalized,no,87176,1422,2025-12-16T18:00:00Z,2025-12-23T18:00:00Z
KXBTC15M-25DEC161245-45,KXBTC15M-25DEC161245,"BTC price up in next 15 mins?",finalized,no,87320,607,2025-12-16T17:45:00Z,2025-12-23T17:45:00Z
KXBTC15M-25DEC161230-30,KXBTC15M-25DEC161230,"BTC price up in next 15 mins?",finalized,no,87735,1071,2025-12-16T17:30:00Z,2025-12-23T17:30:00Z
KXBTC15M-25DEC161215-15,KXBTC15M-25DEC161215,"BTC price up in next 15 mins?",finalized,yes,87614,1041,2025-12-16T17:15:00Z,2025-12-23T17:15:00Z
KXBTC15M-25DEC161200-00,KXBTC15M-25DEC161200,"BTC price up in next 15 mins?",finalized,yes,87520,706,2025-12-16T17:00:00Z,2025-12-23T17:00:00Z
KXBTC15M-25DEC161145-45,KXBTC15M-25DEC161145,"BTC price up in next 15 mins?",finalized,no,87846,322,2025-12-16T16:45:00Z,2025-12-23T16:45:00Z
KXBTC15M-25DEC161130-30,KXBTC15M-25DEC161130,"BTC price up in next 15 mins?",finalized,yes,87722,523,2025-12-16T16:30:00Z,2025-12-23T16:30:00Z
KXBTC15M-25DEC161115-15,KXBTC15M-25DEC161115,"BTC price up in next 15 mins?",finalized,no,87941,583,2025-12-16T16:15:00Z,2025-12-23T16:15:00Z
KXBTC15M-25DEC161100-00,KXBTC15M-25DEC161100,"BTC price up in next 15 mins?",finalized,yes,87236,275,2025-12-16T16:00:00Z,2025-12-23T16:00:00Z
KXBTC15M-25DEC161045-45,KXBTC15M-25DEC161045,"BTC price up in next 15 mins?",finalized,yes,87199,3570,2025-12-16T15:45:00Z,2025-12-23T15:45:00Z
KXBTC15M-25DEC161030-30,KXBTC15M-25DEC161030,"BTC price up in next 15 mins?",finalized,no,87218,1381,2025-12-16T15:30:00Z,2025-12-23T15:30:00Z
KXBTC15M-25DEC161015-15,KXBTC15M-25DEC161015,"BTC price up in next 15 mins?",finalized,no,87255,340,2025-12-16T15:15:00Z,2025-12-23T15:15:00Z
KXBTC15M-25DEC161000-00,KXBTC15M-25DEC161000,"BTC price up in next 15 mins?",finalized,yes,87103,364,2025-12-16T15:00:00Z,2025-12-23T15:00:00Z
KXBTC15M-25DEC160945-45,KXBTC15M-25DEC160945,"BTC price up in next 15 mins?",finalized,yes,86942,101,2025-12-16T14:45:00Z,2025-12-23T14:45:00Z
KXBTC15M-25DEC160930-30,KXBTC15M-25DEC160930,"BTC price up in next 15 mins?",finalized,yes,86770,1007,2025-12-16T14:30:00Z,2025-12-23T14:30:00Z
KXBTC15M-25DEC160915-15,KXBTC15M-25DEC160915,"BTC price up in next 15 mins?",finalized,yes,86562,0,2025-12-16T14:15:00Z,2025-12-23T14:15:00Z
KXBTC15M-25DEC160000-00,KXBTC15M-25DEC160000,"BTC price up in next 15 mins?",finalized,yes,85633,39,2025-12-16T05:00:00Z,2025-12-23T05:00:00Z
KXBTC15M-25DEC152345-45,KXBTC15M-25DEC152345,"BTC price up in next 15 mins?",finalized,yes,85629,40,2025-12-16T04:45:00Z,2025-12-23T04:45:00Z
KXBTC15M-25DEC152330-30,KXBTC15M-25DEC152330,"BTC price up in next 15 mins?",finalized,no,85799,6,2025-12-16T04:30:00Z,2025-12-23T04:30:00Z
KXBTC15M-25DEC152315-15,KXBTC15M-25DEC152315,"BTC price up in next 15 mins?",finalized,no,85852,35,2025-12-16T04:15:00Z,2025-12-23T04:15:00Z
KXBTC15M-25DEC152300-00,KXBTC15M-25DEC152300,"BTC price up in next 15 mins?",finalized,yes,85750,5,2025-12-16T04:00:00Z,2025-12-23T04:00:00Z
KXBTC15M-25DEC152245-45,KXBTC15M-25DEC152245,"BTC price up in next 15 mins?",finalized,yes,85633,32,2025-12-16T03:45:00Z,2025-12-23T03:45:00Z
KXBTC15M-25DEC152230-30,KXBTC15M-25DEC152230,"BTC price up in next 15 mins?",finalized,no,85719,97,2025-12-16T03:30:00Z,2025-12-23T03:30:00Z
KXBTC15M-25DEC152215-15,KXBTC15M-25DEC152215,"BTC price up in next 15 mins?",finalized,no,85903,46,2025-12-16T03:15:00Z,2025-12-23T03:15:00Z
KXBTC15M-25DEC152200-00,KXBTC15M-25DEC152200,"BTC price up in next 15 mins?",finalized,no,86113,22,2025-12-16T03:00:00Z,2025-12-23T03:00:00Z
KXBTC15M-25DEC152145-45,KXBTC15M-25DEC152145,"BTC price up in next 15 mins?",finalized,no,86165,280,2025-12-16T02:45:00Z,2025-12-23T02:45:00Z
KXBTC15M-25DEC152130-30,KXBTC15M-25DEC152130,"BTC price up in next 15 mins?",finalized,yes,85978,9,2025-12-16T02:30:00Z,2025-12-23T02:30:00Z
KXBTC15M-25DEC152115-15,KXBTC15M-25DEC152115,"BTC price up in next 15 mins?",finalized,yes,85901,544,2025-12-16T02:15:00Z,2025-12-23T02:15:00Z
KXBTC15M-25DEC152100-00,KXBTC15M-25DEC152100,"BTC price up in next 15 mins?",finalized,yes,85839,10,2025-12-16T02:00:00Z,2025-12-23T02:00:00Z
KXBTC15M-25DEC152045-45,KXBTC15M-25DEC152045,"BTC price up in next 15 mins?",finalized,no,85887,40,2025-12-16T01:45:00Z,2025-12-23T01:45:00Z
KXBTC15M-25DEC152030-30,KXBTC15M-25DEC152030,"BTC price up in next 15 mins?",finalized,no,86089,10,2025-12-16T01:30:00Z,2025-12-23T01:30:00Z
KXBTC15M-25DEC152015-15,KXBTC15M-25DEC152015,"BTC price up in next 15 mins?",finalized,yes,85858,93,2025-12-16T01:15:00Z,2025-12-23T01:15:00Z
KXBTC15M-25DEC152000-00,KXBTC15M-25DEC152000,"BTC price up in next 15 mins?",finalized,no,86127,22,2025-12-16T01:00:00Z,2025-12-23T01:00:00Z
KXBTC15M-25DEC151945-45,KXBTC15M-25DEC151945,"BTC price up in next 15 mins?",finalized,no,86344,53,2025-12-16T00:45:00Z,2025-12-23T00:45:00Z
KXBTC15M-25DEC151930-30,KXBTC15M-25DEC151930,"BTC price up in next 15 mins?",finalized,yes,86309,925,2025-12-16T00:30:00Z,2025-12-23T00:30:00Z
